300;5.217391304
306.9114471;4.695652174
314.6868251;4.52173913
320.7343413;4.869565217
324.1900648;5.739130435
326.7818575;6.782608696
329.3736501;8
331.9654428;9.565217391
334.5572354;11.47826087
337.1490281;13.2173913
338.8768898;14.26086957
340.6047516;15.47826087
343.1965443;17.2173913
345.7883369;18.95652174
348.3801296;20.86956522
351.8358531;22.7826087
355.2915767;24.34782609
357.8833693;25.73913043
360.475162;27.30434783
363.9308855;29.04347826
367.3866091;30.95652174
370.8423326;33.2173913
375.161987;36.69565217
380.3455724;40.34782609
384.6652268;44
389.8488121;47.47826087
396.7602592;52
406.2634989;56.69565217
417.4946004;62.26086957
433.9092873;69.04347826
439.9568035;70.95652174
446.0043197;72
452.0518359;72.86956522
457.2354212;73.73913043
462.4190065;74.43478261
469.3304536;75.13043478
474.5140389;75.82608696
480.5615551;76.69565217
486.6090713;77.39130435
493.5205184;77.73913043
501.2958963;77.73913043
509.0712743;77.73913043
516.8466523;77.39130435
522.8941685;77.04347826
530.6695464;76.34782609
537.5809935;74.95652174
545.3563715;73.73913043
553.1317495;72.34782609
559.1792657;70.60869565
566.9546436;68.86956522
574.7300216;67.13043478
582.5053996;65.56521739
587.6889849;64.69565217
593.7365011;63.47826087
603.2397408;61.2173913
611.8790497;59.65217391
620.5183585;57.73913043
629.1576674;55.47826087
637.7969762;53.2173913
647.300216;50.95652174
654.2116631;49.56521739
661.987041;48.17391304
670.6263499;45.73913043
679.2656587;44
687.0410367;42.08695652
695.6803456;40
702.5917927;38.60869565
712.0950324;36.52173913
721.5982721;34.43478261
730.237581;32.17391304
738.012959;30.7826087
746.6522678;29.39130435
755.2915767;27.47826087
763.0669546;26.08695652
772.5701944;24.69565217
781.2095032;23.30434783
788.1209503;22.26086957
795.8963283;21.91304348
800.2159827;21.39130435
803.6717063;20.17391304
807.9913607;18.60869565
814.0388769;17.39130435
821.8142549;16.17391304
828.7257019;15.82608696
834.7732181;15.30434783
841.6846652;14.60869565
848.5961123;13.73913043
855.5075594;12.69565217
863.2829374;11.47826087
871.0583153;10.60869565
884.8812095;9.565217391
896.112311;8.52173913
906.4794816;7.47826087
915.9827214;6.608695652
922.8941685;6.086956522
929.8056156;5.739130435
936.7170626;5.217391304
947.9481641;4.52173913
958.3153348;4
968.6825054;3.304347826
981.6414687;2.608695652
992.8725702;2.260869565
1004.103672;1.913043478
1016.198704;1.565217391
1027.429806;1.217391304
1042.980562;0.869565217
1064.578834;0.52173913
1076.673866;0.52173913
1085.313175;0.52173913
1093.088553;0.347826087
1100;0.347826087
